Sale_ID,Sale_Date,Region,State,Product_Category,Product_Subcategory,Product_Name,Quantity,Unit_Price,Total_Sales,Discount_Percentage,Profit,Season,Festival,Payment_Mode
1,2024-02-16,Central,Madhya Pradesh,Home Appliances,Washing Machines,Standard Washing Machines,5,11065,55325,0,12026.11,Winter,None,Credit Card
2,2024-05-08,East,Odisha,Groceries,Cereals,Standard Cereals,1,792,792,0,119.81,Summer,None,Credit Card
3,2024-09-02,Central,Madhya Pradesh,Furniture,Bed,Standard Bed,5,6162,30810,0,3872.53,Festive,Diwali,Cash
4,2024-10-27,Central,Chhattisgarh,Groceries,Spices,Basic Spices,2,164,328,0,22.42,Festive,Diwali,Net Banking
5,2024-11-20,East,Assam,Groceries,Cereals,Premium Cereals,2,260,520,0,122.8,Festive,Durga Puja,Debit Card
6,2024-03-08,East,Odisha,Electronics,Laptops,Basic Laptops,1,49761,49761,0,11496.54,Summer,None,Debit Card
7,2024-10-19,East,Odisha,Clothing,Women's Wear,Basic Women's Wear,1,673,605.7,10,105.77,Festive,Durga Puja,Credit Card
8,2024-01-09,South,Telangana,Home Appliances,Microwave Ovens,Basic Microwave Ovens,1,14702,14702,0,2430.39,Winter,Pongal,UPI
9,2024-07-05,North,Delhi,Clothing,Men's Wear,Standard Men's Wear,1,831,706.35,15,93.95,Monsoon,None,Credit Card
10,2024-06-21,South,Telangana,Home Appliances,Washing Machines,Premium Washing Machines,3,8059,22968.15,5,2194.95,Monsoon,None,Cash
11,2024-04-21,South,Kerala,Home Appliances,Washing Machines,Basic Washing Machines,2,23733,47466,0,9530.71,Summer,None,Net Banking
12,2024-09-23,West,Maharashtra,Groceries,Snacks,Basic Snacks,3,984,2952,0,715.57,Festive,Diwali,Cash
13,2024-04-10,South,Telangana,Clothing,Men's Wear,Standard Men's Wear,1,1811,1720.45,5,156.12,Summer,None,Cash
14,2024-10-28,West,Rajasthan,Groceries,Snacks,Standard Snacks,3,647,1746.9,10,226.48,Festive,Diwali,Net Banking
15,2024-02-25,South,Karnataka,Clothing,Kids Wear,Premium Kids Wear,3,1282,3461.4,10,580.93,Winter,Pongal,Net Banking
16,2024-05-14,West,Maharashtra,Clothing,Kids Wear,Premium Kids Wear,3,2934,8802,0,1614.29,Summer,None,Cash
17,2024-03-23,Central,Chhattisgarh,Home Appliances,Microwave Ovens,Basic Microwave Ovens,5,13456,53824,20,8243.16,Summer,None,Net Banking
18,2024-10-17,South,Kerala,Furniture,Chair,Premium Chair,3,31888,76531.2,20,8559.77,Festive,Pongal,Credit Card
19,2024-03-07,East,West Bengal,Groceries,Beverages,Premium Beverages,2,821,1559.9,5,310.45,Summer,None,UPI
20,2024-06-11,Central,Chhattisgarh,Groceries,Beverages,Standard Beverages,3,193,521.1,10,28.58,Monsoon,None,Credit Card
21,2024-12-13,North,Delhi,Electronics,Smart TVs,Standard Smart TVs,5,27379,136895,0,13426.46,Winter,None,Cash
22,2024-02-03,South,Kerala,Electronics,Laptops,Standard Laptops,3,63636,190908,0,22273.76,Winter,Pongal,Net Banking
23,2024-11-10,East,West Bengal,Clothing,Kids Wear,Standard Kids Wear,3,1817,5178.45,5,694.08,Festive,Durga Puja,Debit Card
24,2024-04-17,Central,Chhattisgarh,Home Appliances,Microwave Ovens,Basic Microwave Ovens,3,37095,111285,0,6271.16,Summer,None,Debit Card
25,2024-01-18,West,Gujarat,Furniture,Dining Table,Standard Dining Table,3,2468,7404,0,967.77,Winter,None,Credit Card
26,2024-04-24,Central,Madhya Pradesh,Groceries,Beverages,Basic Beverages,3,210,567,10,72.07,Summer,None,Debit Card
27,2024-06-27,East,West Bengal,Furniture,Sofa,Basic Sofa,5,11213,53261.75,5,6378.72,Monsoon,None,UPI
28,2024-02-05,East,West Bengal,Clothing,Men's Wear,Basic Men's Wear,2,1994,3788.6,5,820.13,Winter,None,Net Banking
29,2024-02-21,East,Assam,Home Appliances,Washing Machines,Premium Washing Machines,2,7402,14804,0,1817.96,Winter,None,UPI
30,2024-10-03,South,Karnataka,Furniture,Dining Table,Basic Dining Table,5,42409,190840.5,10,19631.36,Festive,Diwali,Net Banking
31,2024-12-07,North,Haryana,Clothing,Women's Wear,Premium Women's Wear,3,741,2223,0,278.95,Winter,None,Cash
32,2024-03-12,South,Telangana,Home Appliances,Washing Machines,Standard Washing Machines,3,12131,30934.05,15,6207.63,Summer,None,UPI
33,2024-04-01,Central,Chhattisgarh,Furniture,Bed,Premium Bed,5,16330,73485,10,16385.05,Summer,None,Net Banking
34,2024-02-06,Central,Madhya Pradesh,Home Appliances,Refrigerators,Premium Refrigerators,5,13036,61921,5,8556.72,Winter,None,Net Banking
35,2024-05-22,South,Karnataka,Home Appliances,Microwave Ovens,Premium Microwave Ovens,4,5670,22680,0,1516.05,Summer,None,Debit Card
36,2024-05-08,West,Rajasthan,Groceries,Beverages,Basic Beverages,2,723,1446,0,138.53,Summer,None,Cash
37,2024-12-29,Central,Chhattisgarh,Furniture,Chair,Premium Chair,2,42065,84130,0,17092.8,Winter,None,Net Banking
38,2024-03-09,South,Karnataka,Home Appliances,Microwave Ovens,Standard Microwave Ovens,2,21429,38572.2,10,2631.56,Summer,None,UPI
39,2024-04-25,Central,Chhattisgarh,Electronics,Laptops,Basic Laptops,2,51237,102474,0,7895.33,Summer,None,Cash
40,2024-09-16,East,West Bengal,Electronics,Earphones,Basic Earphones,1,39709,35738.1,10,7024.8,Festive,Durga Puja,UPI
41,2024-06-22,Central,Madhya Pradesh,Home Appliances,Microwave Ovens,Basic Microwave Ovens,1,20830,20830,0,2308.64,Monsoon,None,Net Banking
42,2024-01-15,West,Maharashtra,Clothing,Men's Wear,Basic Men's Wear,1,1365,1296.75,5,116.95,Winter,None,UPI
43,2024-07-02,East,Assam,Clothing,Kids Wear,Basic Kids Wear,5,2196,10431,5,1509.77,Monsoon,None,Debit Card
44,2024-02-15,South,Karnataka,Electronics,Smart TVs,Basic Smart TVs,2,27369,49264.2,10,9178.45,Winter,Pongal,UPI
45,2024-12-28,Central,Madhya Pradesh,Home Appliances,Washing Machines,Standard Washing Machines,1,23863,22669.85,5,4302.35,Winter,None,Credit Card
46,2024-10-12,North,Uttar Pradesh,Home Appliances,Washing Machines,Premium Washing Machines,2,15664,26628.8,15,3032.09,Festive,Holi,Net Banking
47,2024-07-29,North,Punjab,Furniture,Dining Table,Standard Dining Table,5,30020,150100,0,33377.52,Monsoon,None,Net Banking
48,2024-02-20,Central,Chhattisgarh,Clothing,Kids Wear,Premium Kids Wear,1,1088,1088,0,160.55,Winter,None,Credit Card
49,2024-06-05,West,Maharashtra,Clothing,Kids Wear,Basic Kids Wear,2,2960,5920,0,1013.5,Monsoon,None,Debit Card
50,2024-07-12,Central,Madhya Pradesh,Groceries,Snacks,Basic Snacks,3,221,663,0,100.27,Monsoon,None,Credit Card
51,2024-07-25,East,Assam,Electronics,Smart TVs,Premium Smart TVs,1,69079,69079,0,6749.62,Monsoon,None,UPI
52,2024-07-23,East,West Bengal,Home Appliances,Refrigerators,Basic Refrigerators,2,27750,55500,0,9569.66,Monsoon,None,Debit Card
53,2024-01-28,West,Rajasthan,Electronics,Laptops,Basic Laptops,2,24397,43914.6,10,7280.58,Winter,None,Cash
54,2024-11-12,South,Telangana,Electronics,Laptops,Basic Laptops,1,69216,69216,0,4024.62,Festive,Onam,Cash
55,2024-07-07,North,Punjab,Home Appliances,Refrigerators,Standard Refrigerators,4,16354,65416,0,14306.77,Monsoon,None,UPI
56,2024-07-26,South,Kerala,Home Appliances,Washing Machines,Basic Washing Machines,1,35444,33671.8,5,2069.52,Monsoon,None,Cash
57,2024-07-14,Central,Chhattisgarh,Electronics,Smart TVs,Standard Smart TVs,4,10262,36943.2,10,8875.89,Monsoon,None,Net Banking
58,2024-09-19,South,Telangana,Furniture,Sofa,Basic Sofa,5,32965,164825,0,26747.48,Festive,Diwali,Cash
59,2024-10-31,East,West Bengal,Home Appliances,Microwave Ovens,Basic Microwave Ovens,3,9083,25886.55,5,1493.2,Festive,Durga Puja,Net Banking
60,2024-07-28,West,Rajasthan,Clothing,Kids Wear,Standard Kids Wear,4,1442,4902.8,15,516.38,Monsoon,None,Debit Card
61,2024-06-07,West,Maharashtra,Electronics,Laptops,Premium Laptops,1,29412,27941.4,5,6656.93,Monsoon,None,Net Banking
62,2024-02-03,South,Kerala,Groceries,Snacks,Standard Snacks,1,186,186,0,27.74,Winter,Pongal,UPI
63,2024-02-11,Central,Madhya Pradesh,Electronics,Mobile Phones,Standard Mobile Phones,1,14867,13380.3,10,2871.94,Winter,None,Cash
64,2024-07-22,South,Telangana,Clothing,Women's Wear,Premium Women's Wear,3,2967,8901,0,2196.36,Monsoon,None,Credit Card
65,2024-01-19,East,Assam,Electronics,Laptops,Premium Laptops,3,55463,166389,0,22652.66,Winter,None,UPI
66,2024-06-18,East,West Bengal,Groceries,Beverages,Premium Beverages,3,366,878.4,20,85.2,Monsoon,None,Debit Card
67,2024-03-21,North,Punjab,Groceries,Beverages,Basic Beverages,4,859,3436,0,715.45,Summer,None,Cash
68,2024-06-13,West,Gujarat,Home Appliances,Microwave Ovens,Premium Microwave Ovens,2,36861,73722,0,11552.93,Monsoon,None,Cash
69,2024-06-04,North,Haryana,Electronics,Earphones,Basic Earphones,4,43641,165835.8,5,18819.11,Monsoon,None,Credit Card
70,2024-02-19,South,Telangana,Home Appliances,Washing Machines,Premium Washing Machines,3,8602,24515.7,5,4201.81,Winter,Pongal,Net Banking
71,2024-12-07,Central,Madhya Pradesh,Clothing,Kids Wear,Standard Kids Wear,5,1955,8797.5,10,1879.68,Winter,None,Cash
72,2024-10-17,West,Rajasthan,Home Appliances,Refrigerators,Basic Refrigerators,4,4131,15697.8,5,2232.75,Festive,Ganesh Chaturthi,Credit Card
73,2024-09-01,West,Gujarat,Clothing,Men's Wear,Standard Men's Wear,2,2878,5468.2,5,539.01,Festive,Diwali,Cash
74,2024-01-27,Central,Madhya Pradesh,Home Appliances,Refrigerators,Standard Refrigerators,4,24432,87955.2,10,12963.69,Winter,None,Cash
75,2024-04-23,North,Delhi,Furniture,Chair,Basic Chair,4,17680,63648,10,14272.99,Summer,None,Cash
76,2024-08-17,Central,Madhya Pradesh,Furniture,Sofa,Basic Sofa,4,29874,107546.4,10,20985.51,Monsoon,None,UPI
77,2024-01-13,Central,Chhattisgarh,Furniture,Bed,Premium Bed,3,41410,124230,0,28060.9,Winter,None,Net Banking
78,2024-09-15,West,Gujarat,Furniture,Dining Table,Premium Dining Table,4,34029,136116,0,31465.39,Festive,Diwali,Credit Card
79,2024-03-27,North,Uttar Pradesh,Clothing,Women's Wear,Standard Women's Wear,2,1658,3150.2,5,274.61,Summer,None,Net Banking
80,2024-02-17,North,Uttar Pradesh,Home Appliances,Washing Machines,Basic Washing Machines,5,15023,75115,0,11891.63,Winter,None,Debit Card
81,2024-01-04,North,Punjab,Electronics,Earphones,Premium Earphones,4,10700,42800,0,6359.08,Winter,None,Cash
82,2024-05-16,Central,Chhattisgarh,Electronics,Smart TVs,Basic Smart TVs,1,32156,25724.8,20,6051.01,Summer,None,Credit Card
83,2024-11-02,South,Kerala,Groceries,Cereals,Standard Cereals,5,670,3350,0,704.54,Festive,Pongal,Credit Card
84,2024-08-09,South,Telangana,Furniture,Chair,Premium Chair,4,35049,140196,0,8695.02,Monsoon,None,Cash
85,2024-12-25,West,Rajasthan,Groceries,Snacks,Standard Snacks,1,909,909,0,146.99,Winter,None,Cash
86,2024-07-12,Central,Chhattisgarh,Home Appliances,Refrigerators,Basic Refrigerators,5,27524,123858,10,20565.46,Monsoon,None,UPI
87,2024-12-03,Central,Madhya Pradesh,Furniture,Sofa,Basic Sofa,1,28993,28993,0,3510.98,Winter,None,Debit Card
88,2024-10-22,South,Telangana,Groceries,Spices,Premium Spices,2,614,1166.6,5,176.05,Festive,Diwali,Net Banking
89,2024-02-20,Central,Madhya Pradesh,Furniture,Sofa,Standard Sofa,2,34177,58100.9,15,3374.12,Winter,None,UPI
90,2024-08-11,North,Punjab,Electronics,Smart TVs,Premium Smart TVs,1,28957,26061.3,10,6110.89,Monsoon,None,Net Banking
91,2024-04-10,East,Assam,Clothing,Women's Wear,Basic Women's Wear,5,1630,7335,10,1223.89,Summer,None,Cash
92,2024-08-22,South,Karnataka,Furniture,Sofa,Premium Sofa,4,35202,133767.6,5,14177.01,Monsoon,None,UPI
93,2024-09-30,South,Karnataka,Clothing,Men's Wear,Basic Men's Wear,5,2507,11908.25,5,624.22,Festive,Pongal,UPI
94,2024-10-09,Central,Madhya Pradesh,Home Appliances,Refrigerators,Premium Refrigerators,2,29083,58166,0,13944.67,Festive,Navratri,Credit Card
95,2024-05-24,Central,Madhya Pradesh,Clothing,Women's Wear,Premium Women's Wear,2,624,1185.6,5,80.77,Summer,None,Cash
96,2024-09-01,South,Tamil Nadu,Home Appliances,Washing Machines,Premium Washing Machines,2,15543,31086,0,1739.36,Festive,Pongal,UPI
97,2024-06-06,West,Rajasthan,Electronics,Smart TVs,Basic Smart TVs,1,6691,6021.9,10,399.75,Monsoon,None,Debit Card
98,2024-07-22,North,Punjab,Home Appliances,Microwave Ovens,Standard Microwave Ovens,2,32220,61218,5,7755.64,Monsoon,None,Credit Card
99,2024-03-23,North,Haryana,Electronics,Mobile Phones,Standard Mobile Phones,5,17692,79614,10,5052.38,Summer,None,Debit Card
100,2024-04-20,North,Delhi,Clothing,Men's Wear,Basic Men's Wear,3,1768,5038.8,5,1071.96,Summer,None,Debit Card
101,2024-12-11,Central,Madhya Pradesh,Furniture,Sofa,Standard Sofa,2,36948,73896,0,9253.2,Winter,None,Net Banking
102,2024-09-04,East,Odisha,Electronics,Laptops,Basic Laptops,3,59338,178014,0,36635.3,Festive,Diwali,Cash
103,2024-09-17,Central,Chhattisgarh,Clothing,Men's Wear,Basic Men's Wear,5,1121,5044.5,10,727.58,Festive,Diwali,Debit Card
104,2024-02-20,South,Tamil Nadu,Home Appliances,Washing Machines,Basic Washing Machines,3,11797,30082.35,15,4486.5,Winter,Pongal,Credit Card
105,2024-12-26,West,Maharashtra,Furniture,Chair,Standard Chair,5,43830,197235,10,39517.92,Winter,None,Debit Card
106,2024-09-20,North,Punjab,Clothing,Men's Wear,Premium Men's Wear,3,2080,5928,5,893.04,Festive,Holi,UPI
107,2024-09-23,Central,Madhya Pradesh,Groceries,Cereals,Basic Cereals,4,298,1192,0,268.82,Festive,Diwali,UPI
108,2024-07-25,South,Kerala,Clothing,Women's Wear,Premium Women's Wear,5,754,3393,10,451.28,Monsoon,None,Credit Card
109,2024-01-02,East,Odisha,Groceries,Beverages,Premium Beverages,3,182,491.4,10,88.08,Winter,None,Net Banking
110,2024-09-26,East,Assam,Electronics,Laptops,Basic Laptops,2,20611,41222,0,2588.64,Festive,Diwali,Debit Card
111,2024-09-05,South,Tamil Nadu,Clothing,Kids Wear,Basic Kids Wear,2,1942,3689.8,5,780.79,Festive,Pongal,Cash
112,2024-06-09,North,Delhi,Clothing,Women's Wear,Standard Women's Wear,5,1691,8455,0,1138.91,Monsoon,None,UPI
113,2024-04-05,South,Kerala,Electronics,Laptops,Basic Laptops,5,23158,110000.5,5,18018.25,Summer,None,Credit Card
114,2024-11-08,North,Haryana,Home Appliances,Refrigerators,Basic Refrigerators,1,24768,22291.2,10,4657.71,Festive,Lohri,UPI
115,2024-02-20,North,Delhi,Home Appliances,Washing Machines,Premium Washing Machines,1,18871,17927.45,5,3259.95,Winter,None,Credit Card
116,2024-10-17,West,Rajasthan,Home Appliances,Washing Machines,Premium Washing Machines,4,4409,17636,0,3510.64,Festive,Diwali,Debit Card
117,2024-07-07,East,Odisha,Home Appliances,Refrigerators,Basic Refrigerators,2,36031,64855.8,10,5119.17,Monsoon,None,Cash
118,2024-05-23,North,Haryana,Clothing,Men's Wear,Premium Men's Wear,4,1803,6490.8,10,1099.03,Summer,None,Cash
119,2024-10-21,West,Gujarat,Home Appliances,Microwave Ovens,Premium Microwave Ovens,3,18387,49644.9,10,10551.4,Festive,Ganesh Chaturthi,Cash
120,2024-03-07,West,Rajasthan,Furniture,Chair,Standard Chair,1,32102,30496.9,5,3871.16,Summer,None,Cash
121,2024-08-09,North,Haryana,Furniture,Dining Table,Premium Dining Table,5,42414,201466.5,5,38965.56,Monsoon,None,UPI
122,2024-10-29,East,Assam,Clothing,Kids Wear,Standard Kids Wear,2,640,1216,5,131.36,Festive,Diwali,Credit Card
123,2024-05-18,Central,Madhya Pradesh,Furniture,Dining Table,Premium Dining Table,3,14553,41476.05,5,9800.1,Summer,None,Cash
124,2024-11-09,West,Gujarat,Furniture,Sofa,Premium Sofa,3,13761,41283,0,4190.36,Festive,Ganesh Chaturthi,Cash
125,2024-08-25,Central,Madhya Pradesh,Home Appliances,Microwave Ovens,Premium Microwave Ovens,1,14121,13414.95,5,2285.98,Monsoon,None,Net Banking
126,2024-11-25,South,Karnataka,Clothing,Kids Wear,Standard Kids Wear,2,2083,3957.7,5,676.53,Festive,Diwali,Cash
127,2024-04-22,North,Uttar Pradesh,Clothing,Men's Wear,Basic Men's Wear,2,1622,3081.8,5,605.65,Summer,None,Credit Card
128,2024-11-18,South,Tamil Nadu,Clothing,Men's Wear,Premium Men's Wear,4,1168,4204.8,10,575.74,Festive,Pongal,Cash
129,2024-04-24,West,Gujarat,Home Appliances,Washing Machines,Premium Washing Machines,4,36325,138035,5,32478.11,Summer,None,Debit Card
